dataset,compartment,stratum,age_group,metric,n_donor,point,ci_lo,ci_hi,n_young,n_old,power_at_d_observed,mannwhitney_p
HLMA,Immune,within_country_Spain,old,mean_SASP,1,-0.06036442998666612,-0.06036442998666612,-0.06036442998666612,,,,
HLMA,Immune,within_country_Spain,old,SASP_high_fraction,1,0.23333333333333334,0.23333333333333334,0.23333333333333334,,,,
HLMA,Immune,within_country_Spain,old,senescence_score,1,0.008768659035364777,0.008768659035364777,0.008768659035364777,,,,
HLMA,Immune,within_country_Spain,old,total_load_caveat,1,-1.8109328995999836,-1.8109328995999836,-1.8109328995999836,,,,
HLMA,MuSC,pooled,young,mean_SASP,6,-0.020899084303412724,-0.08598019321040967,0.05920865835495436,,,,
HLMA,MuSC,pooled,young,SASP_high_fraction,6,0.1655230779094512,0.01822733567700011,0.34496030734668065,,,,
HLMA,MuSC,pooled,young,senescence_score,6,-0.010331296191714077,-0.03083568122366714,0.007286030755116107,,,,
HLMA,MuSC,pooled,young,regen_score,6,0.2628454583525012,0.19129251139030004,0.34824072490510327,,,,
HLMA,MuSC,pooled,young,total_load_caveat,6,4.919024851672894,-25.60727968888152,37.04745902302211,,,,
HLMA,MuSC,pooled,old,mean_SASP,13,-0.04057913699801334,-0.07685313430532346,0.005650381150483489,,,,
HLMA,MuSC,pooled,old,SASP_high_fraction,13,0.13774150242931232,0.05379854165031202,0.2459390332356033,,,,
HLMA,MuSC,pooled,old,senescence_score,13,-0.004327937476531357,-0.01996605617109722,0.010977170025172385,,,,
HLMA,MuSC,pooled,old,regen_score,13,0.20064699876936645,0.15706607949108198,0.24430404663035826,,,,
HLMA,MuSC,pooled,old,total_load_caveat,13,-0.39462637334856604,-28.22795355015983,29.902595128641725,,,,
HLMA,MuSC,pooled,old_vs_young_effect,mean_SASP,19,-0.22625916882649932,-1.4176829290180337,0.8657410788338111,6.0,13.0,0.07175105788861331,0.7012383900928792
HLMA,MuSC,pooled,old_vs_young_effect,SASP_high_fraction,19,-0.14201119355973976,-1.3497842543394565,0.9123352163086441,6.0,13.0,0.058508493614469484,0.8256900361686246
HLMA,MuSC,pooled,old_vs_young_effect,senescence_score,19,0.20892191536023258,-0.7124439607422854,1.2524177303621251,6.0,13.0,0.06851472230953297,0.7653693056169837
HLMA,MuSC,pooled,old_vs_young_effect,regen_score,19,-0.6600610460770623,-1.7179801604129232,0.23789032917162245,6.0,13.0,0.24339484156768673,0.41552410437859355
HLMA,MuSC,within_tech_scRNA,young,mean_SASP,3,0.04738544804302863,-0.06616846402729042,0.15291785593639415,,,,
HLMA,MuSC,within_tech_scRNA,young,SASP_high_fraction,3,0.3262842510569976,0.09507829977628636,0.5454545454545454,,,,
HLMA,MuSC,within_tech_scRNA,young,senescence_score,3,0.0029914794035929304,-0.009915538939658715,0.010000356307202894,,,,
HLMA,MuSC,within_tech_scRNA,young,regen_score,3,0.22363752605385034,0.15900319028967733,0.3052420658173705,,,,
HLMA,MuSC,within_tech_scRNA,young,total_load_caveat,3,17.637899473393208,-59.15460684039763,63.91966378141276,,,,
HLMA,MuSC,within_tech_scRNA,old,mean_SASP,4,0.0650453748132233,0.020112308662891466,0.104259426779073,,,,
HLMA,MuSC,within_tech_scRNA,old,SASP_high_fraction,4,0.372124582238652,0.24934793448427994,0.4813639170465347,,,,
HLMA,MuSC,within_tech_scRNA,old,senescence_score,4,0.01716284493642308,0.002895585534699434,0.03868786744676309,,,,
HLMA,MuSC,within_tech_scRNA,old,regen_score,4,0.13155289982821955,0.09051139928788826,0.1725944003685508,,,,
HLMA,MuSC,within_tech_scRNA,old,total_load_caveat,4,46.80965208856597,-0.5274494079702965,94.14675358510223,,,,
HLMA,MuSC,within_tech_scRNA,old_vs_young_effect,mean_SASP,7,0.2197225342756274,-2.185693892206478,5.81836207858604,3.0,4.0,0.05647233776226325,0.8571428571428571
HLMA,MuSC,within_tech_scRNA,old_vs_young_effect,SASP_high_fraction,7,0.252903150220804,-1.7314720170803573,4.653793915208171,3.0,4.0,0.05858225288914792,0.8571428571428571
HLMA,MuSC,within_tech_scRNA,old_vs_young_effect,senescence_score,7,0.7595075903347742,-0.8273335726288813,2.3881794669338188,3.0,4.0,0.12906083399234805,0.6285714285714286
HLMA,MuSC,within_tech_scRNA,old_vs_young_effect,regen_score,7,-1.4818779284440748,-5.2349140885231185,-0.45433690606184673,3.0,4.0,0.3504789269115457,0.11428571428571428
HLMA,MuSC,within_tech_snRNA,young,mean_SASP,3,-0.08918361664985408,-0.1054417214968748,-0.07958526238308504,,,,
