gene,mean_junb_pos,mean_junb_neg,log2FC,p_value,bh_p_value,significant
GPHN,-0.16498816013336182,0.20898692309856415,-0.37397509813308716,1.0222750266296342e-102,5.4142131880454626e-101,True
LGALS3,0.1730441004037857,-0.19986103475093842,0.3729051351547241,1.613514302242301e-95,8.076173445294543e-94,True
ANKRD10-IT1,-0.10791420191526413,0.2648890018463135,-0.3728032112121582,4.076008129841916e-88,1.9398918569415067e-86,True
PRKN,-0.15164466202259064,0.2205525040626526,-0.37219715118408203,1.0503336170488604e-97,5.387828883613385e-96,True
DNM3OS,-0.03798765316605568,0.33379697799682617,-0.37178462743759155,1.0027096507865024e-92,4.9001503328577613e-91,True
ID2,0.13375964760780334,-0.23691986501216888,0.37067949771881104,1.2496410734149538e-104,6.663963748298712e-103,True
CXCL12,0.24894313514232635,-0.12101981043815613,0.3699629306793213,2.3465525223040316e-96,1.1840918045365768e-94,True
LY6E,0.10179906338453293,-0.26665329933166504,0.36845237016677856,3.4849824565704305e-107,1.8909844387376818e-105,True
IFI16,0.17274010181427002,-0.19429384171962738,0.3670339584350586,1.93798309311089e-98,9.99077041162308e-97,True
PPP1R10,0.15728312730789185,-0.2085743546485901,0.36585748195648193,1.7676912965953834e-106,9.558181403562786e-105,True
AC004160.1,-0.05530991032719612,0.3102447986602783,-0.36555472016334534,1.740025140155487e-79,7.625346381532879e-78,True
AL669831.3,-0.15587835013866425,0.20934082567691803,-0.3652191758155823,7.38122361432675e-109,4.0548306957922996e-107,True
AC062004.1,-0.075717993080616,0.28934141993522644,-0.36505940556526184,2.2839575850903645e-72,9.38512703698339e-71,True
MYL12B,0.14082089066505432,-0.22341714799404144,0.36423802375793457,9.658805630585273e-96,4.84237499761203e-94,True
RHOA,0.11589348316192627,-0.24673467874526978,0.36262816190719604,4.028380143133154e-97,2.0528174666890544e-95,True
