stratum,tf,beta_age,se_age,p_age,ci_lo,ci_hi,beta_age_x_smtsisch,p_age_x_smtsisch,n,r2,family,pre_cv_n,post_cv_n,bonf_alpha,bonf_sig
pooled,SCENIC__MuSC__FOSL2,-0.001601299493226864,0.001130858017460444,0.157165005315875,-0.0038211115095904543,0.0006185125231367265,-5.203756149517582e-07,0.7521261734560796,803,0.09149299771448538,mlm,803,803,0.000462962962962963,False
pooled,SCENIC__MuSC__IRF1,0.0016823968964587727,0.002411921900799355,0.4856722618413488,-0.003052072979740514,0.006416866772658059,1.1178040660663276e-05,0.0015190719742038377,803,0.09246566456405014,mlm,803,803,0.000462962962962963,False
pooled,SCENIC__MuSC__JUNB,-0.0072548122439425695,0.004326808612283495,0.09399094307451807,-0.015748099289491887,0.001238474801606747,1.804864738305783e-05,0.004292457359235939,803,0.0930942244094235,mlm,803,803,0.000462962962962963,False
pooled,SCENIC__MuSC__KLF10,0.003188794926462734,0.0018378242541855143,0.08311099804779158,-0.0004187528827370693,0.0067963427356625365,9.680103847388946e-07,0.7177146456334152,803,0.19202361488514597,mlm,803,803,0.000462962962962963,False
pooled,SCENIC__Vascular__ATF3,0.00045081453199514803,0.00082708522190267,0.5858618637801289,-0.001172708214263768,0.002074337278254064,-1.2170967594560677e-06,0.31262638044766244,803,0.012810783978525975,mlm,803,803,0.000462962962962963,False
pooled,SCENIC__Vascular__CEBPB,0.0005943504096158033,0.0016986894762688722,0.7265154793926145,-0.0027400834921396068,0.003928784311371213,5.059914246770423e-06,0.04116423517572932,803,0.027478760664945256,mlm,803,803,0.000462962962962963,False
pooled,SCENIC__Vascular__EGR1,-0.007457960693223041,0.00379804359339564,0.04992003434963535,-0.014913311123709153,-2.6102627369304146e-06,1.353506622483196e-05,0.014626708243965074,803,0.057586693276514,mlm,803,803,0.000462962962962963,False
pooled,SCENIC__Vascular__FOS,0.0004401918126859089,0.0026936204656083803,0.8702290817556526,-0.0048472368341994825,0.0057276204595712995,3.091506731892995e-06,0.43091863766608507,803,0.09528137229034839,mlm,803,803,0.000462962962962963,False
pooled,SCENIC__Vascular__FOSL2,-0.0013968780177001517,0.0032886939996597617,0.6711324082397193,-0.007852403243565148,0.005058647208164845,1.468601597269863e-05,0.0022420202739716626,803,0.051357493847618674,mlm,803,803,0.000462962962962963,False
pooled,SCENIC__Vascular__IRF1,-0.0021571896401912927,0.0016353750672640191,0.187521403228913,-0.005367340843546107,0.0010529615631635217,6.2016264249825914e-06,0.009393725924077216,803,0.027133298928894267,mlm,803,803,0.000462962962962963,False
pooled,SCENIC__Vascular__JUNB,0.0013919789832404425,0.0028385173241201964,0.6239933061002906,-0.004179874218002511,0.006963832184483396,1.0003919818323078e-05,0.015751022215441196,803,0.06410886807326688,mlm,803,803,0.000462962962962963,False
pooled,SCENIC__Vascular__KLF10,-0.0018398569657101238,0.0015353341632632362,0.23113972069803435,-0.004853633383371223,0.0011739194519509756,7.399681190616353e-07,0.7407969804309138,803,0.19002153947910339,mlm,803,803,0.000462962962962963,False
pooled,CollecTRI__ATF3,-0.0018081970709286335,0.0018174513781738524,0.320082927740576,-0.005375754046371842,0.0017593599045145753,1.7382476828249875e-06,0.5115770828415658,803,0.017871596412641466,mlm,803,803,0.000462962962962963,False
pooled,CollecTRI__CEBPB,0.0027134161328942127,0.004937580253102817,0.5827863276071088,-0.0069787820107870685,0.012405614276575494,2.2378240391381383e-05,0.0019256404313165315,803,0.09226022718814875,mlm,803,803,0.000462962962962963,False
pooled,CollecTRI__EGR1,0.0065671440579451405,0.003281129295476644,0.045678285002619785,0.0001264679298330438,0.013007820186057237,9.119959927282941e-06,0.05669611835361335,803,0.08087588102839605,mlm,803,803,0.000462962962962963,False
pooled,CollecTRI__FOS,-0.0010963852809522064,0.0033905502390931997,0.7465036575932753,-0.007751848696001824,0.005559078134097412,1.786728022480359e-05,0.00031536267135878955,803,0.07568235230518983,mlm,803,803,0.000462962962962963,False
pooled,CollecTRI__FOSL2,-0.0009533494269159165,0.0016106985728470448,0.5540949955988754,-0.004115062030567877,0.0022083631767360447,1.4395834198515578e-06,0.5396162188898868,803,0.08063622243906066,mlm,803,803,0.000462962962962963,False
pooled,CollecTRI__IRF1,0.004913663683944907,0.0028004404040802545,0.07971133197740282,-0.0005834466200061372,0.01041077398789595,4.456673864458816e-06,0.2748693443514735,803,0.10352399770721776,mlm,803,803,0.000462962962962963,False
pooled,CollecTRI__JUNB,0.0011226111926485177,0.00198408838389162,0.57168421281012,-0.0027720450489729827,0.005017267434270018,1.550968164455925e-06,0.5916123841192372,803,0.03625665846367121,mlm,803,803,0.000462962962962963,False
pooled,CollecTRI__KLF10,0.00394977873298693,0.0016586982611361749,0.017487814006112972,0.0006938453843777933,0.007205712081596066,4.681949127817166e-06,0.05297085143800066,803,0.0789245596316025,mlm,803,803,0.000462962962962963,False
T1_low,SCENIC__FAP__ATF3,0.009015592931625674,0.004313399608346561,0.03756237630604813,0.0005225500933334036,0.017508635769917943,-3.6250158359249095e-05,0.03082257585682041,270,0.05706086121608678,mlm,803,270,0.000462962962962963,False
T1_low,SCENIC__FAP__CEBPB,-0.008387894459290642,0.008520957998843184,0.3258280445562496,-0.02516557978374525,0.008389790865163964,4.547275302164954e-05,0.16919171539498878,270,0.0698748597746468,mlm,803,270,0.000462962962962963,False
T1_low,SCENIC__FAP__EGR1,0.023915546850572955,0.011124966420955257,0.03248623148293916,0.0020105936890562268,0.045820500012089684,-0.00010153521721108538,0.01911897724108411,270,0.0772037802762291,mlm,803,270,0.000462962962962963,False
