target,importance_Vascular,in_vascular,importance_MuSC,in_musc,importance_FAP,in_fap,in_sasp12
GLYCTK,,False,,False,0.0905232095570384,True,False
GNGT1,,False,,False,0.482727498987228,True,False
GOLGA6C,,False,0.0002042394923967,True,,False,False
GOT1,,False,,False,0.7453595975384226,True,False
GPC5-AS1,,False,,False,0.5616777644486435,True,False
GRHPR,,False,,False,0.0866857141607556,True,False
GSC,1.6850041297133303e-10,True,,False,,False,False
GSTA9P,0.2024621226907357,True,,False,,False,False
GTF2A2,,False,,False,0.0984985628944093,True,False
GTPBP6,,False,,False,0.0602587214554904,True,False
GUSBP11,,False,,False,0.1130431515256197,True,False
GYG2P1,,False,,False,0.4863021320194383,True,False
GYS2,,False,,False,0.4673209799682636,True,False
H2AFZ,,False,0.3804833403987516,True,,False,False
HCCAT5,,False,,False,1.6413276545358658e-05,True,False
HCFC2,,False,,False,8.919541667730848e-05,True,False
HECTD4,,False,,False,0.2698115706281713,True,False
HIGD2B,,False,,False,1.069110215062461,True,False
HLX,,False,,False,0.1897656652826875,True,False
HMG20B,,False,,False,0.090809348822296,True,False
HMGB1P4,,False,,False,1.5561690110834678,True,False
HMGB1P41,,False,,False,0.2899570147400615,True,False
HMGB1P9,,False,,False,0.4610928030245927,True,False
HMGB2,,False,0.2143981095635537,True,,False,False
HNF1A,,False,0.902471154455511,True,,False,False
HNRNPA1P57,1.6000962758230183e-05,True,,False,,False,False
HNRNPC,,False,,False,0.8543195450250782,True,False
HOXB2,,False,,False,3.1024551931431894,True,False
HOXC13,,False,,False,0.0402722488006953,True,False
HOXD4,,False,0.2467806033073372,True,,False,False
HOXD8,,False,,False,0.6306337615571813,True,False
HP,,False,,False,0.2093420453645872,True,False
HPYR1,,False,,False,0.3770773245906852,True,False
HSH2D,,False,0.9920722671102638,True,,False,False
HSP90AB4P,,False,,False,0.2065793657313658,True,False
HSPA1L,0.0499982034393906,True,,False,,False,False
HSPB7,,False,,False,0.1176249536611693,True,False
HTR3E,,False,,False,0.0002123448103525,True,False
HUNK,,False,,False,6.175765675492155e-08,True,False
IAPP,,False,,False,0.4964692571503675,True,False
ID1,,False,,False,0.0580808370685328,True,False
ID4,0.4265635922659511,True,,False,,False,False
IER3,,False,,False,1.6841213055364277,True,False
IER3IP1,,False,0.2243689217753508,True,,False,False
IFIH1,,False,0.4633970455712886,True,,False,False
IFT52,0.261420892758964,True,,False,,False,False
IGFBP3,0.2288163301377954,True,,False,,False,False
IGFBP4,,False,,False,0.0655246962126243,True,False
IL21,,False,,False,0.0131751777035753,True,False
IL6,,False,,False,0.1147995907934156,True,True
INTS4P1,,False,1.2736169250307534,True,,False,False
IQCA1L,,False,,False,0.330559464710988,True,False
IQCJ-SCHIP1,,False,,False,0.7191152248898713,True,False
IRF8,,False,0.0182938660678233,True,,False,False
IRX4,,False,,False,0.0079419909503036,True,False
ITPKC,0.1489038225934058,True,,False,,False,False
JAK2,,False,,False,0.0657836547315594,True,False
JAK3,0.493218665633222,True,,False,,False,False
JRKL-AS1,,False,0.0568583047401501,True,,False,False
JUN,,False,,False,0.0590169962103909,True,False
JUNB,0.0321722484901576,True,,False,,False,False
KANTR,,False,,False,0.1016007890100226,True,False
KBTBD13,,False,,False,2.3232674069782004e-05,True,False
KCNC3,1.6716122023136438e-05,True,,False,,False,False
KCND2,,False,,False,0.0358732043657633,True,False
KCTD16,,False,,False,0.1438143706473167,True,False
KDELC1P1,2.3709843531289208,True,,False,,False,False
KIAA1143,0.4919451618424065,True,,False,,False,False
KIAA1211,,False,,False,0.1860622817058808,True,False
KIAA1841,,False,,False,2.254253833264155e-05,True,False
KIF14,,False,0.1125766701690715,True,,False,False
KIF15,,False,0.0715277579846548,True,,False,False
KIRREL3,,False,,False,0.1098057629845322,True,False
KLF10,,False,,False,0.934057294187862,True,False
KLF16,,False,0.0946083367202709,True,,False,False
KLF4,,False,,False,0.0312343559450496,True,False
KLF9,,False,,False,0.0977108894991646,True,False
LAMA3,,False,0.0938261500437389,True,,False,False
LAMA4,,False,0.0736124200620483,True,,False,False
LCLAT1,,False,,False,0.0880187048098933,True,False
LCORL,,False,,False,0.1215851699664092,True,False
LEKR1,,False,,False,0.1752109323247907,True,False
LEPR,,False,,False,0.0853063867887288,True,False
LINC00113,,False,,False,0.6311014640288081,True,False
LINC00114,,False,,False,0.5602287660714346,True,False
LINC00211,,False,,False,0.7063548687225664,True,False
LINC00278,,False,,False,0.0010661816551379,True,False
LINC00290,,False,,False,0.4842350748465073,True,False
LINC00520,0.340177277731297,True,,False,,False,False
LINC00535,,False,,False,0.075924729500685,True,False
LINC00589,,False,,False,3.813747147868251e-06,True,False
LINC00880,,False,0.8772189587440034,True,,False,False
LINC00894,,False,,False,0.2147261579325808,True,False
LINC00926,,False,0.100985369658229,True,,False,False
LINC01194,,False,,False,0.7343427619625256,True,False
LINC01209,0.9898862260766365,True,,False,,False,False
LINC01213,,False,,False,0.5353644519058242,True,False
LINC01297,,False,,False,9.74724869668178e-05,True,False
LINC01392,,False,,False,0.3872950262198768,True,False
LINC01470,,False,,False,1.1605083965155273e-07,True,False
LINC01674,,False,,False,0.4226558706637887,True,False
LINC01752,,False,,False,0.1400943588682944,True,False
LINC01788,,False,,False,0.4750353288312857,True,False
LINC01793,,False,,False,1.0940911407848204,True,False
LINC01802,,False,,False,0.4636808734033487,True,False
LINC01822,,False,,False,0.4123005346410182,True,False
